code,description_es,description_pt
X905,Agresion con productos quimicos y sustancias nocivas no especificadas: comercio y areas de servicio,Agressão por meio de produtos químicos e substâncias nocivas não especificados - áreas de comércio e de serviços
X906,Agresion con productos quimicos y sustancias nocivas no especificadas: area industrial y de la construccion,Agressão por meio de produtos químicos e substâncias nocivas não especificados - áreas industriais e em construção
X907,Agresion con productos quimicos y sustancias nocivas no especificadas: granja,Agressão por meio de produtos químicos e substâncias nocivas não especificados - fazenda
X908,Agresion con productos quimicos y sustancias nocivas no especificadas: otro lugar especificado,Agressão por meio de produtos químicos e substâncias nocivas não especificados - outros locais especificados
X909,Agresion con productos quimicos y sustancias nocivas no especificadas: lugar no especificado,Agressão por meio de produtos químicos e substâncias nocivas não especificados - local não especificado
X91,Agresión por ahorcamiento,
X910,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - residência"
X911,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - habitação coletiva"
X912,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - escolas, outras instituições e áreas de administração pública"
X913,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - área para a prática de esportes e atletismo"
X914,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - rua e estrada"
X915,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - áreas de comércio e de serviços"
X916,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - áreas industriais e em construção"
X917,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - fazenda"
X918,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - outros locais especificados"
X919,Agresion por ahorcamiento,"Agressão por meio de enforcamento, estrangulamento e sufocação - local não especificado"
X92,Agresión por ahogamiento y sumersión,
X920,Agresion por ahogamiento y sumersion: vivienda,Agressão por meio de afogamento e submersão - residência
X921,Agresion por ahogamiento y sumersion: institucion residencial,Agressão por meio de afogamento e submersão - habitação coletiva
X922,Agresion por ahogamiento y sumersion: escuelas,"Agressão por meio de afogamento e submersão - escolas, outras instituições e áreas de administração pública"
X923,Agresion por ahogamiento y sumersion: areas de deporte y atletismo,Agressão por meio de afogamento e submersão - área para a prática de esportes e atletismo
X924,Agresion por ahogamiento y sumersion: calles y carreteras,Agressão por meio de afogamento e submersão - rua e estrada
X925,Agresion por ahogamiento y sumersion: comercio y areas de servicio,Agressão por meio de afogamento e submersão - áreas de comércio e de serviços
X926,Agresion por ahogamiento y sumersion: area industrial y de la construccion,Agressão por meio de afogamento e submersão - áreas industriais e em construção
X927,Agresion por ahogamiento y sumersion: granja,Agressão por meio de afogamento e submersão - fazenda
X928,Agresion por ahogamiento y sumersion: otro lugar especificado,Agressão por meio de afogamento e submersão - outros locais especificados
X929,Agresion por ahogamiento y sumersion: lugar no especificado,Agressão por meio de afogamento e submersão - local não especificado
X93,Agresión con disparo de arma corta,
X930,Agresion con disparo de arma corta: vivienda,Agressão por meio de disparo de arma de fogo de mão - residência
X931,Agresion con disparo de arma corta: institucion residencial,Agressão por meio de disparo de arma de fogo de mão - habitação coletiva
X932,Agresion con disparo de arma corta: escuelas,"Agressão por meio de disparo de arma de fogo de mão - escolas, outras instituições e áreas de administração pública"
X933,Agresion con disparo de arma corta: areas de deporte y atletismo,Agressão por meio de disparo de arma de fogo de mão - área para a prática de esportes e atletismo
X934,Agresion con disparo de arma corta: calles y carreteras,Agressão por meio de disparo de arma de fogo de mão - rua e estrada
X935,Agresion con disparo de arma corta: comercio y areas de servicio,Agressão por meio de disparo de arma de fogo de mão - áreas de comércio e de serviços
X936,Agresion con disparo de arma corta: area industrial y de la construccion,Agressão por meio de disparo de arma de fogo de mão - áreas industriais e em construção
X937,Agresion con disparo de arma corta: granja,Agressão por meio de disparo de arma de fogo de mão - fazenda
X938,Agresion con disparo de arma corta: otro lugar especificado,Agressão por meio de disparo de arma de fogo de mão - outros locais especificados
X939,Agresion con disparo de arma corta: lugar no especificado,Agressão por meio de disparo de arma de fogo de mão - local não especificado
X94,Agresión con disparo de rifle,
X940,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - residência"
X941,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - habitação coletiva"
X942,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - escolas, outras instituições e áreas de administração pública"
X943,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - área para a prática de esportes e atletismo"
X944,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - rua e estrada"
X945,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - áreas de comércio e de serviços"
X946,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - áreas industriais e em construção"
X947,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - fazenda"
X948,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - outros locais especificados"
X949,Agresion con disparo de rifle,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre - local não especificado"
X95,Agresión con disparo de otras armas de fuego,
X950,Agresion con disparo de otras armas de fuego,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - residência
X951,Agresion con disparo de otras armas de fuego,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - habitação coletiva
X952,Agresion con disparo de otras armas de fuego,"Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - escolas, outras instituições e áreas de administração pública"
X953,Agresion con disparo de otras armas de fuego,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - área para a prática de esportes e atletismo
X954,Agresion con disparo de otras armas de fuego,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada
X955,Agresion con disparo de otras armas de fuego,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - áreas de comércio e de serviços
X956,Agresion con disparo de otras armas de fuego,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - áreas industriais e em construção
X957,Agresion con disparo de otras armas de fuego,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - fazenda
X958,Agresion con disparo de otras armas de fuego,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - outros locais especificados
X959,Agresion con disparo de otras armas de fuego,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - local não especificado
X96,Agresión con material explosivo,
X960,Agresion con material explosivo: vivienda,Agressão por meio de material explosivo - residência
X961,Agresion con material explosivo: institucion residencial,Agressão por meio de material explosivo - habitação coletiva
X962,Agresion con material explosivo: escuelas,"Agressão por meio de material explosivo - escolas, outras instituições e áreas de administração pública"
X963,Agresion con material explosivo: areas de deporte y atletismo,Agressão por meio de material explosivo - área para a prática de esportes e atletismo
X964,Agresion con material explosivo: calles y carreteras,Agressão por meio de material explosivo - rua e estrada
X965,Agresion con material explosivo: comercio y areas de servicio,Agressão por meio de material explosivo - áreas de comércio e de serviços
X966,Agresion con material explosivo: area industrial y de la construccion,Agressão por meio de material explosivo - áreas industriais e em construção
X967,Agresion con material explosivo: granja,Agressão por meio de material explosivo - fazenda
X968,Agresion con material explosivo: otro lugar especificado,Agressão por meio de material explosivo - outros locais especificados
X969,Agresion con material explosivo: lugar no especificado,Agressão por meio de material explosivo - local não especificado
X97,Agresión con humo,
X970,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - residência"
X971,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - habitação coletiva"
X972,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - escolas, outras instituições e áreas de administração pública"
X973,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - área para a prática de esportes e atletismo"
X974,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - rua e estrada"
X975,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - áreas de comércio e de serviços"
X976,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - áreas industriais e em construção"
X977,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - fazenda"
X978,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - outros locais especificados"
X979,Agresion con humo,"Agressão por meio de fumaça, fogo e chamas - local não especificado"
X98,Agresión con vapor de agua,
X980,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - residência"
X981,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - habitação coletiva"
X982,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - escolas, outras instituições e áreas de administração pública"
X983,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - área para a prática de esportes e atletismo"
X984,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - rua e estrada"
X985,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - áreas de comércio e de serviços"
X986,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - áreas industriais e em construção"
X987,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - fazenda"
X988,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - outros locais especificados"
X989,Agresion con vapor de agua,"Agressão por meio de vapor de água, gases ou objetos quentes - local não especificado"
X99,Agresión con objeto cortante,
X990,Agresion con objeto cortante: vivienda,Agressão por meio de objeto cortante ou penetrante - residência
X991,Agresion con objeto cortante: institucion residencial,Agressão por meio de objeto cortante ou penetrante - habitação coletiva
X992,Agresion con objeto cortante: escuelas,"Agressão por meio de objeto cortante ou penetrante - escolas, outras instituições e áreas de administração pública"
X993,Agresion con objeto cortante: areas de deporte y atletismo,Agressão por meio de objeto cortante ou penetrante - área para a prática de esportes e atletismo
X994,Agresion con objeto cortante: calles y carreteras,Agressão por meio de objeto cortante ou penetrante - rua e estrada
X995,Agresion con objeto cortante: comercio y areas de servicio,Agressão por meio de objeto cortante ou penetrante - áreas de comércio e de serviços
X996,Agresion con objeto cortante: area industrial y de la construccion,Agressão por meio de objeto cortante ou penetrante - áreas industriais e em construção
X997,Agresion con objeto cortante: granja,Agressão por meio de objeto cortante ou penetrante - fazenda
X998,Agresion con objeto cortante: otro lugar especificado,Agressão por meio de objeto cortante ou penetrante - outros locais especificados
X999,Agresion con objeto cortante: lugar no especificado,Agressão por meio de objeto cortante ou penetrante - local não especificado
Y00,Agresión con objeto romo o sin filo,
Y000,Agresion con objeto romo o sin filo: vivienda,Agressão por meio de um objeto contundente - residência
Y001,Agresion con objeto romo o sin filo: institucion residencial,Agressão por meio de um objeto contundente - habitação coletiva
Y002,Agresion con objeto romo o sin filo: escuelas otras instituciones y areas administrativas,"Agressão por meio de um objeto contundente - escolas, outras instituições e áreas de administração pública"
Y003,Agresion con objeto romo o sin filo: areas de deporte y atletismo,Agressão por meio de um objeto contundente - área para a prática de esportes e atletismo
Y004,Agresion con objeto romo o sin filo: calles y carreteras,Agressão por meio de um objeto contundente - rua e estrada
Y005,Agresion con objeto romo o sin filo: comercio y area de servicios,Agressão por meio de um objeto contundente - áreas de comércio e de serviços
Y006,Agresion con objeto romo o sin filo: area industrial y de la construccion,Agressão por meio de um objeto contundente - áreas industriais e em construção
Y007,Agresion con objeto romo o sin filo: granja,Agressão por meio de um objeto contundente - fazenda
Y008,Agresion con objeto romo o sin filo: otro lugar especificado,Agressão por meio de um objeto contundente - outros locais especificados
Y009,Agresion con objeto romo o sin filo: lugar no especificado,Agressão por meio de um objeto contundente - local não especificado
Y01,Agresión por empujón desde un lugar elevado,
Y010,Agresion por empujon desde un lugar elevado: vivienda,Agressão por meio de projeção de um lugar elevado - residência
Y011,Agresion por empujon desde un lugar elevado: institucion residencial,Agressão por meio de projeção de um lugar elevado - habitação coletiva
Y012,Agresion por empujon desde un lugar elevado: escuelas otras instituciones y areas administrativas,"Agressão por meio de projeção de um lugar elevado - escolas, outras instituições e áreas de administração pública"
Y013,Agresion por empujon desde un lugar elevado: areas de deporte y atletismo,Agressão por meio de projeção de um lugar elevado - área para a prática de esportes e atletismo
Y014,Agresion por empujon desde un lugar elevado: calles y carreteras,Agressão por meio de projeção de um lugar elevado - rua e estrada
Y015,Agresion por empujon desde un lugar elevado: comercio y area de servicios,Agressão por meio de projeção de um lugar elevado - áreas de comércio e de serviços
Y016,Agresion por empujon desde un lugar elevado: area industrial y de la construccion,Agressão por meio de projeção de um lugar elevado - áreas industriais e em construção
Y017,Agresion por empujon desde un lugar elevado: granja,Agressão por meio de projeção de um lugar elevado - fazenda
Y018,Agresion por empujon desde un lugar elevado: otro lugar especificado,Agressão por meio de projeção de um lugar elevado - outros locais especificados
Y019,Agresion por empujon desde un lugar elevado: lugar no especificado,Agressão por meio de projeção de um lugar elevado - local não especificado
Y02,Agresión por empujar o colocar a la víctima delante de objeto en movimiento,
Y020,Agresion por empujar o colocar a la victima delante de objeto en movimiento: vivienda,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - residência
Y021,Agresion por empujar o colocar a la victima delante de objeto en movimiento: institucion residencial,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - habitação coletiva
Y022,Agresion por empujar o colocar a la victima delante de objeto en movimiento: escuelas otras instituciones y areas administrativas,"Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - escolas, outras instituições e áreas de administração pública"
Y023,Agresion por empujar o colocar a la victima delante de objeto en movimiento: areas de deporte y atletismo,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - área para a prática de esportes e atletismo
Y024,Agresion por empujar o colocar a la victima delante de objeto en movimiento: calles y carreteras,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - rua e estrada
Y025,Agresion por empujar o colocar a la victima delante de objeto en movimiento: comercio y area de servicios,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - áreas de comércio e de serviços
Y026,Agresion por empujar o colocar a la victima delante de objeto en movimiento: area industrial y de la construccion,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - áreas industriais e em construção
Y027,Agresion por empujar o colocar a la victima delante de objeto en movimiento: granja,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - fazenda
Y028,Agresion por empujar o colocar a la victima delante de objeto en movimiento: otro lugar especificado,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - outros locais especificados
Y029,Agresion por empujar o colocar a la victima delante de objeto en movimiento: lugar no especificado,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento - local não especificado
Y03,Agresión por colisión de vehículo de motor,
Y030,Agresion por colision de vehiculo de motor: vivienda,Agressão por meio de impacto de um veículo a motor - residência
Y031,Agresion por colision de vehiculo de motor: institucion residencial,Agressão por meio de impacto de um veículo a motor - habitação coletiva
Y032,Agresion por colision de vehiculo de motor: escuelas,"Agressão por meio de impacto de um veículo a motor - escolas, outras instituições e áreas de administração pública"
Y033,Agresion por colision de vehiculo de motor: areas de deporte y atletismo,Agressão por meio de impacto de um veículo a motor - área para a prática de esportes e atletismo
Y034,Agresion por colision de vehiculo de motor: calles y carreteras,Agressão por meio de impacto de um veículo a motor - rua e estrada
Y035,Agresion por colision de vehiculo de motor: comercio y area de servicios,Agressão por meio de impacto de um veículo a motor - áreas de comércio e de serviços
Y036,Agresion por colision de vehiculo de motor: area industrial y de la construccion,Agressão por meio de impacto de um veículo a motor - áreas industriais e em construção
Y037,Agresion por colision de vehiculo de motor: granja,Agressão por meio de impacto de um veículo a motor - fazenda
Y038,Agresion por colision de vehiculo de motor: otro lugar especificado,Agressão por meio de impacto de um veículo a motor - outros locais especificados
Y039,Agresion por colision de vehiculo de motor: lugar no especificado,Agressão por meio de impacto de um veículo a motor - local não especificado
Y04,Agresión con fuerza corporal,
Y040,Agresion con fuerza corporal: vivienda,Agressão por meio de força corporal - residência
Y041,Agresion con fuerza corporal: institucion residencial,Agressão por meio de força corporal - habitação coletiva
Y042,Agresion con fuerza corporal: escuelas,"Agressão por meio de força corporal - escolas, outras instituições e áreas de administração pública"
Y043,Agresion con fuerza corporal: areas de deporte y atletismo,Agressão por meio de força corporal - área para a prática de esportes e atletismo
Y044,Agresion con fuerza corporal: calles y carreteras,Agressão por meio de força corporal - rua e estrada
Y045,Agresion con fuerza corporal: comercio y area de servicios,Agressão por meio de força corporal - áreas de comércio e de serviços
Y046,Agresion con fuerza corporal: area industrial y de la construccion,Agressão por meio de força corporal - áreas industriais e em construção
Y047,Agresion con fuerza corporal: granja,Agressão por meio de força corporal - fazenda
Y048,Agresion con fuerza corporal: otro lugar especificado,Agressão por meio de força corporal - outros locais especificados
Y049,Agresion con fuerza corporal: lugar no especificado,Agressão por meio de força corporal - local não especificado
Y05,Agresión sexual con fuerza corporal,
Y050,Agresion sexual con fuerza corporal: vivienda,Agressão sexual por meio de força física - residência
Y051,Agresion sexual con fuerza corporal: institucion residencial,Agressão sexual por meio de força física - habitação coletiva
Y052,Agresion sexual con fuerza corporal: escuelas,"Agressão sexual por meio de força física - escolas, outras instituições e áreas de administração pública"
Y053,Agresion sexual con fuerza corporal: areas de deporte y atletismo,Agressão sexual por meio de força física - área para a prática de esportes e atletismo
Y054,Agresion sexual con fuerza corporal: calles y carreteras,Agressão sexual por meio de força física - rua e estrada
Y055,Agresion sexual con fuerza corporal: comercio y area de servicios,Agressão sexual por meio de força física - áreas de comércio e de serviços
Y056,Agresion sexual con fuerza corporal: area industrial y de la construccion,Agressão sexual por meio de força física - áreas industriais e em construção
Y057,Agresion sexual con fuerza corporal: granja,Agressão sexual por meio de força física - fazenda
Y058,Agresion sexual con fuerza corporal: otro lugar especificado,Agressão sexual por meio de força física - outros locais especificados
Y059,Agresion sexual con fuerza corporal: lugar no especificado,Agressão sexual por meio de força física - local não especificado
Y06,Negligencia y abandono,
Y060,Por esposo o pareja,Negligência e abandono pelo esposo ou companheiro
Y061,Por padre o madre,Negligência e abandono pelos pais
Y062,Por conocido o amigo,Negligência e abandono por conhecido ou amigo
Y068,Por otra persona especificada,Negligência e abandono por outra pessoa especificada
Y069,Por persona no especificada,Negligência e abandono por pessoa não especificada
Y07,Otros síndromes de maltrato,
Y070,Por esposo o pareja,Outras síndromes de maus tratos pelo esposo ou companheiro
Y071,Por padre o madre,Outras síndromes de maus tratos pelos pais
Y072,Por conocido o amigo,Outras síndromes de maus tratos por conhecido ou amigo
Y073,Por autoridades oficiales,Outras síndromes de maus tratos por autoridades oficiais
Y078,Por otra persona especificada,Outras síndromes de maus tratos por outra pessoa especificada
Y079,Por persona no especificada,Outras síndromes de maus tratos por pessoa não especificada
Y08,Agresión por otros medios especificados,
Y080,Agresion por otros medios especificados: vivienda,Agressão por outros meios especificados - residência
Y081,Agresion por otros medios especificados: institucion residencial,Agressão por outros meios especificados - habitação coletiva
Y082,Agresion por otros medios especificados: escuelas,"Agressão por outros meios especificados - escolas, outras instituições e áreas de administração pública"
Y083,Agresion por otros medios especificados: areas de deporte y atletismo,Agressão por outros meios especificados - área para a prática de esportes e atletismo
Y084,Agresion por otros medios especificados: calles y carreteras,Agressão por outros meios especificados - rua e estrada
Y085,Agresion por otros medios especificados: comercio y area de servicios,Agressão por outros meios especificados - áreas de comércio e de serviços
Y086,Agresion por otros medios especificados: area industrial y de la construccion,Agressão por outros meios especificados - áreas industriais e em construção
Y087,Agresion por otros medios especificados: granja,Agressão por outros meios especificados - fazenda
Y088,Agresion por otros medios especificados: otro lugar especificado,Agressão por outros meios especificados - outros locais especificados
Y089,Agresion por otros medios especificados: lugar no especificado,Agressão por outros meios especificados - local não especificado
Y09,Agresión por medios no especificados,
Y090,Agresion por medios no especificados: vivienda,Agressão por meios não especificados - residência
Y091,Agresion por medios no especificados: institucion residencial,Agressão por meios não especificados - habitação coletiva
Y092,Agresion por medios no especificados: escuelas otras instituciones y areas administrativas,"Agressão por meios não especificados - escolas, outras instituições e áreas de administração pública"
Y093,Agresion por medios no especificados: areas de deporte y atletismo,Agressão por meios não especificados - área para a prática de esportes e atletismo
Y094,Agresion por medios no especificados: calles y carreteras,Agressão por meios não especificados - rua e estrada
Y095,Agresion por medios no especificados: comercio y area de servicios,Agressão por meios não especificados - áreas de comércio e de serviços
Y096,Agresion por medios no especificados: area industrial y de la construccion,Agressão por meios não especificados - áreas industriais e em construção
Y097,Agresion por medios no especificados: granja,Agressão por meios não especificados - fazenda
Y098,Agresion por medios no especificados: otro lugar especificado,Agressão por meios não especificados - outros locais especificados
Y099,Agresion por medios no especificados: lugar no especificado,Agressão por meios não especificados - local não especificado
Y10,Envenenamiento por,
Y10-Y34,Eventos de intención no determinada,
Y100,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - residência"
Y101,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - habitação coletiva"
Y102,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - escolas, outras instituições e áreas de administração pública"
Y103,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - área para a prática de esportes e atletismo"
Y104,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - rua e estrada"
Y105,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - áreas de comércio e de serviços"
Y106,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - áreas industriais e em construção"
Y107,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - fazenda"
Y108,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - outros locais especificados"
Y109,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - local não especificado"
Y11,Envenenamiento por,
Y110,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - residência"
Y111,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - habitação coletiva"
Y112,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - escolas, outras instituições e áreas de administração pública"
Y113,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - área para a prática de esportes e atletismo"
Y114,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - rua e estrada"
Y115,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - áreas de comércio e de serviços"
Y116,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - áreas industriais e em construção"
Y117,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - fazenda"
Y118,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - outros locais especificados"
Y119,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - local não especificado"
Y12,Envenenamiento por,
Y120,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - residência"
Y121,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - habitação coletiva"
Y122,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - escolas, outras instituições e áreas de administração pública"
Y123,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - área para a prática de esportes e atletismo"
Y124,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - rua e estrada"
Y125,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - áreas de comércio e de serviços"
Y126,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - áreas industriais e em construção"
Y127,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - fazenda"
Y128,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - outros locais especificados"
Y129,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - local não especificado"
Y13,Envenenamiento por,
Y130,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - residência"
Y131,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - habitação coletiva"
Y132,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - escolas, outras instituições e áreas de administração pública"
Y133,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - área para a prática de esportes e atletismo"
Y134,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - rua e estrada"
Y135,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - áreas de comércio e de serviços"
Y136,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - áreas industriais e em construção"
Y137,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - fazenda"
Y138,Envenenamiento por,"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - outros locais especificados"
